物品ID,物品名称,index(自动排序位置),BuildMode(建造类型),BuildIndex(建造栏位置)
5002,星际物流运输船,73,0,0
1125,框架材料,74,0,0
1502,戴森球组件,75,0,0
1503,小型运载火箭,76,0,0
1131,地基,77,4,901
1141,增产剂 Mk.I,78,0,0
1142,增产剂 Mk.II,79,0,0
1143,增产剂 Mk.III,80,0,0
1601,机枪弹箱,81,0,0
1602,钛化弹箱,82,0,0
1603,超合金弹箱,83,0,0
1604,炮弹组,84,0,0
1605,高爆炮弹组,85,0,0
1606,晶石炮弹组,86,0,0
1607,等离子胶囊,87,0,0
1608,反物质胶囊,88,0,0
1609,导弹组,89,0,0
1610,超音速导弹组,90,0,0
1611,引力导弹组,91,0,0
1612,干扰胶囊,92,0,0
1613,压制胶囊,93,0,0
5101,原型机,94,0,0
5102,精准无人机,95,0,0
5103,攻击无人机,96,0,0
5111,护卫舰,97,0,0
5112,驱逐舰,98,0,0
5201,黑雾矩阵,99,0,0
5202,硅基神经元,100,0,0
5203,物质重组器,101,0,0
5204,负熵奇点,102,0,0
5205,核心素,103,0,0
5206,能量碎片,104,0,0
2001,传送带,105,2,301
2002,高速传送带,106,2,302
2003,极速传送带,107,2,303
2011,分拣器,108,3,304
2012,高速分拣器,109,3,305
2013,极速分拣器,110,3,306
2014,集装分拣器,111,3,307
2020,四向分流器,112,1,308
2040,自动集装机,113,1,602
2030,流速监测器,114,5,309
2313,喷涂机,115,5,310
2107,物流配送器,116,5,601
2101,小型储物仓,117,1,401
2102,大型储物仓,118,1,402
2106,储液罐,119,1,403
2303,制造台 Mk.I,120,1,503
2304,制造台 Mk.II,121,1,504
2305,制造台 Mk.III,122,1,505
2318,重组式制造台,123,1,808
2201,电力感应塔,124,1,101
2202,无线输电塔,125,1,102
2212,卫星配电站,126,1,103
2203,风力涡轮机,127,1,104
2204,火力发电厂,128,1,105
2211,微型聚变发电站,129,1,108
2213,地热发电站,130,1,107
2301,采矿机,131,1,201
2316,大型采矿机,132,1,202
2306,抽水站,133,1,203
2302,电弧熔炉,134,1,501
2315,位面熔炉,135,1,502
2319,负熵熔炉,136,1,807
2307,原油萃取站,137,1,204
2308,原油精炼厂,138,1,506
2309,化工厂,139,1,508
2317,量子化工厂,140,1,509
2314,分馏塔,141,1,507
2205,太阳能板,142,1,106
2206,蓄电器,143,1,109
2207,蓄电器（满）,144,1,0
2311,电磁轨道弹射器,145,1,802
2208,射线接收站,146,1,803
2312,垂直发射井,147,1,804
2209,能量枢纽,148,1,606
2310,微型粒子对撞机,149,1,510
2210,人造恒星,150,1,805
2103,行星内物流运输站,151,1,603
2104,星际物流运输站,152,1,604
2105,轨道采集器,153,1,605
2901,矩阵研究站,154,1,801
2902,自演化研究站,155,1,806
3001,高斯机枪塔,156,5,701
3002,高频激光塔,157,1,704
3003,聚爆加农炮,158,5,703
3004,磁化电浆炮,159,5,705
3005,导弹防御塔,160,5,702
3006,干扰塔,161,5,708
3007,信号塔,162,1,709
3008,行星护盾发生器,163,1,710
3009,战场分析基站,164,1,707
3010,近程电浆塔,165,5,706
6001,电磁矩阵,166,0,0
6002,能量矩阵,167,0,0
6003,结构矩阵,168,0,0
6004,信息矩阵,169,0,0
6005,引力矩阵,170,0,0
6006,宇宙矩阵,171,0,0
1099,沙土,172,0,0
2320,低功率分馏塔,173,1,407
2321,建筑极速分馏塔,174,1,408
2322,增殖分馏塔,175,1,410
9480,引力发生装置,176,0,0
9481,位面约束环,177,0,0
9482,引力钻头,178,0,0
9483,隧穿激发装置,179,0,0
9484,谐振盘,180,0,0
9485,光子探针,181,0,0
9486,量子计算机,182,0,0
9487,星际组装厂组件,183,0,0
9488,物质解压器运载火箭,184,0,0
9489,科学枢纽运载火箭,185,0,0
9490,谐振发射器运载火箭,186,0,0
9491,星际组装厂运载火箭,187,0,0
9492,晶体重构器运载火箭,188,0,0
9500,多功能集成组件,189,0,0
9503,力场发生器,190,0,0
9504,复合态晶体,191,0,0
9505,电磁力抑制器,192,0,0
9506,胶子发生器,193,0,0
9507,强力过载装置,194,0,0
9508,导流框架,195,0,0
9509,恒星炮组件,196,0,0
9510,恒星炮运载火箭,197,0,0
9511,水滴,198,0,0


配方ID,配方名称,原料,产物,时间
1,铁块,1001(铁矿)*1 -> 1101(铁块)*1,60(1.0s)
2,磁铁,1001(铁矿)*1 -> 1102(磁铁)*1,90(1.5s)
3,铜块,1002(铜矿)*1 -> 1104(铜块)*1,60(1.0s)
4,石材,1005(石矿)*1 -> 1108(石材)*1,60(1.0s)
5,齿轮,1101(铁块)*1 -> 1201(齿轮)*1,60(1.0s)
6,磁线圈,1102(磁铁)*2 + 1104(铜块)*1 -> 1202(磁线圈)*2,60(1.0s)
7,风力涡轮机,1101(铁块)*6 + 1201(齿轮)*1 + 1202(磁线圈)*3 -> 2203(风力涡轮机)*1,240(4.0s)
8,电力感应塔,1101(铁块)*2 + 1202(磁线圈)*1 -> 2201(电力感应塔)*1,60(1.0s)
9,电磁矩阵,1202(磁线圈)*1 + 1301(电路板)*1 -> 6001(电磁矩阵)*1,180(3.0s)
10,矩阵研究站,1101(铁块)*8 + 1110(玻璃)*4 + 1301(电路板)*4 + 1202(磁线圈)*4 -> 2901(矩阵研究站)*1,180(3.0s)
11,棱镜,1110(玻璃)*3 -> 1111(棱镜)*2,120(2.0s)
12,电浆激发器,1202(磁线圈)*4 + 1111(棱镜)*2 -> 1401(电浆激发器)*1,120(2.0s)
13,无线输电塔,2201(电力感应塔)*1 + 1401(电浆激发器)*3 -> 2202(无线输电塔)*1,180(3.0s)
14,原油萃取站,1103(钢材)*12 + 1108(石材)*12 + 1301(电路板)*6 + 1401(电浆激发器)*4 -> 2307(原油萃取站)*1,480(8.0s)
15,原油精炼厂,1103(钢材)*10 + 1108(石材)*10 + 1301(电路板)*6 + 1401(电浆激发器)*6 -> 2308(原油精炼厂)*1,360(6.0s)
16,等离子精炼,1007(原油)*2 -> 1120(氢)*1 + 1114(精炼油)*2,240(4.0s)
17,高能石墨,1006(煤矿)*2 -> 1109(高能石墨)*1,120(2.0s)
18,能量矩阵,1109(高能石墨)*2 + 1120(氢)*2 -> 6002(能量矩阵)*1,360(6.0s)
19,液氢燃料棒,1106(钛块)*1 + 1120(氢)*10 -> 1801(液氢燃料棒)*2,360(6.0s)
20, - 推进器,1103(钢材)*2 + 1104(铜块)*3 -> 1405(推进器)*1,240(4.0s)
21,加力推进器,1107(钛合金)*5 + 1204(电磁涡轮)*5 -> 1406(加力推进器)*1,360(6.0s)
22,化工厂,1103(钢材)*8 + 1108(石材)*8 + 1110(玻璃)*8 + 1301(电路板)*2 -> 2309(化工厂)*1,300(5.0s)
23,塑料,1114(精炼油)*2 + 1109(高能石墨)*1 -> 1115(塑料)*1,180(3.0s)
24,硫酸,1114(精炼油)*6 + 1005(石矿)*8 + 1000(水)*4 -> 1116(硫酸)*4,360(6.0s)
25,有机晶体,1115(塑料)*2 + 1114(精炼油)*1 + 1000(水)*1 -> 1117(有机晶体)*1,360(6.0s)
26,钛晶石,1117(有机晶体)*1 + 1106(钛块)*3 -> 1118(钛晶石)*1,240(4.0s)
27,结构矩阵,1112(金刚石)*1 + 1118(钛晶石)*1 -> 6003(结构矩阵)*1,480(8.0s)
28,卡西米尔晶体,1118(钛晶石)*1 + 1123(石墨烯)*2 + 1120(氢)*12 -> 1126(卡西米尔晶体)*1,240(4.0s)
29,卡西米尔晶体（高效）,1014(光栅石)*8 + 1123(石墨烯)*2 + 1120(氢)*12 -> 1126(卡西米尔晶体)*1,240(4.0s)
30,钛化玻璃,1110(玻璃)*2 + 1106(钛块)*2 + 1000(水)*2 -> 1119(钛化玻璃)*2,300(5.0s)
31,石墨烯,1109(高能石墨)*3 + 1116(硫酸)*1 -> 1123(石墨烯)*2,180(3.0s)
32,石墨烯（高效）,1011(可燃冰)*2 -> 1123(石墨烯)*2 + 1120(氢)*1,120(2.0s)
33,碳纳米管,1123(石墨烯)*3 + 1106(钛块)*1 -> 1124(碳纳米管)*2,240(4.0s)
34,硅石,1005(石矿)*10 -> 1003(硅石)*1,600(10.0s)
35,碳纳米管（高效）,1015(刺笋结晶)*6 -> 1124(碳纳米管)*2,240(4.0s)
36,粒子宽带,1124(碳纳米管)*2 + 1113(晶格硅)*2 + 1115(塑料)*1 -> 1402(粒子宽带)*1,480(8.0s)
37,晶格硅,1105(高纯硅块)*1 -> 1113(晶格硅)*1,120(2.0s)
38,位面过滤器,1126(卡西米尔晶体)*1 + 1119(钛化玻璃)*2 -> 1304(位面过滤器)*1,720(12.0s)
39,微型粒子对撞机,1107(钛合金)*20 + 1125(框架材料)*20 + 1205(超级磁场环)*25 + 1123(石墨烯)*10 + 1303(处理器)*8 -> 2310(微型粒子对撞机)*1,900(15.0s)
40,重氢,1120(氢)*10 -> 1121(重氢)*5,150(2.5s)
41,氘核燃料棒,1107(钛合金)*1 + 1121(重氢)*20 + 1205(超级磁场环)*1 -> 1802(氘核燃料棒)*2,720(12.0s)
42,湮灭约束球,1206(粒子容器)*1 + 1303(处理器)*1 -> 1403(湮灭约束球)*1,1200(20.0s)
43,人造恒星,1107(钛合金)*20 + 1125(框架材料)*20 + 1403(湮灭约束球)*10 + 1305(量子芯片)*10 -> 2210(人造恒星)*1,1800(30.0s)
44,反物质燃料棒,1122(反物质)*12 + 1120(氢)*12 + 1403(湮灭约束球)*1 + 1107(钛合金)*1 -> 1803(反物质燃料棒)*2,1440(24.0s)
45,制造台 Mk.I,1101(铁块)*4 + 1201(齿轮)*8 + 1301(电路板)*4 -> 2303(制造台MkI)*1,120(2.0s)
46,制造台 Mk.II,2303(制造台MkI)*1 + 1123(石墨烯)*8 + 1303(处理器)*4 -> 2304(制造台MkII)*1,180(3.0s)
47,制造台 Mk.III,2304(制造台MkII)*1 + 1402(粒子宽带)*8 + 1305(量子芯片)*2 -> 2305(制造台MkIII)*1,240(4.0s)
48,采矿机,1101(铁块)*4 + 1301(电路板)*2 + 1202(磁线圈)*2 + 1201(齿轮)*2 -> 2301(采矿机)*1,180(3.0s)
49,抽水站,1101(铁块)*8 + 1108(石材)*4 + 1203(电动机)*4 + 1301(电路板)*2 -> 2306(抽水站)*1,240(4.0s)
50,电路板,1101(铁块)*2 + 1104(铜块)*1 -> 1301(电路板)*2,60(1.0s)
51,处理器,1301(电路板)*2 + 1302(微晶元件)*2 -> 1303(处理器)*1,180(3.0s)
52,量子芯片,1303(处理器)*2 + 1304(位面过滤器)*2 -> 1305(量子芯片)*1,360(6.0s)
53,微晶元件,1105(高纯硅块)*2 + 1104(铜块)*1 -> 1302(微晶元件)*1,120(2.0s)
54,有机晶体（原始）,1030(木材)*20 + 1031(植物燃料)*30 + 1000(水)*10 -> 1117(有机晶体)*1,360(6.0s)
55,信息矩阵,1303(处理器)*2 + 1402(粒子宽带)*1 -> 6004(信息矩阵)*1,600(10.0s)
56,电弧熔炉,1101(铁块)*4 + 1108(石材)*2 + 1301(电路板)*4 + 1202(磁线圈)*2 -> 2302(电弧熔炉)*1,180(3.0s)
57,玻璃,1005(石矿)*2 -> 1110(玻璃)*1,120(2.0s)
58,X射线裂解,1114(精炼油)*1 + 1120(氢)*2 -> 1120(氢)*3 + 1109(高能石墨)*1,240(4.0s)
59,高纯硅块,1003(硅石)*2 -> 1105(高纯硅块)*1,120(2.0s)
60,金刚石,1109(高能石墨)*1 -> 1112(金刚石)*1,120(2.0s)
61,金刚石（高效）,1012(金伯利矿石)*1 -> 1112(金刚石)*2,90(1.5s)
62,晶格硅（高效）,1013(分形硅石)*1 -> 1113(晶格硅)*2,90(1.5s)
63,钢材,1101(铁块)*3 -> 1103(钢材)*1,180(3.0s)
64,火力发电厂,1101(铁块)*10 + 1108(石材)*4 + 1201(齿轮)*4 + 1202(磁线圈)*4 -> 2204(火力发电厂)*1,300(5.0s)
65,钛块,1004(钛石)*2 -> 1106(钛块)*1,120(2.0s)
66,钛合金,1106(钛块)*4 + 1103(钢材)*4 + 1116(硫酸)*8 -> 1107(钛合金)*4,720(12.0s)
67,太阳能板,1104(铜块)*10 + 1105(高纯硅块)*10 + 1301(电路板)*5 -> 2205(太阳能板)*1,360(6.0s)
68,光子合并器,1111(棱镜)*2 + 1301(电路板)*1 -> 1404(光子合并器)*1,180(3.0s)
69,光子合并器（高效）,1014(光栅石)*1 + 1301(电路板)*1 -> 1404(光子合并器)*1,180(3.0s)
70,太阳帆,1123(石墨烯)*1 + 1404(光子合并器)*1 -> 1501(太阳帆)*2,240(4.0s)
71,电磁轨道弹射器,1103(钢材)*20 + 1201(齿轮)*20 + 1303(处理器)*5 + 1205(超级磁场环)*10 -> 2311(电磁轨道弹射器)*1,360(6.0s)
72,射线接收站,1103(钢材)*20 + 1105(高纯硅块)*20 + 1404(光子合并器)*10 + 1303(处理器)*5 + 1205(超级磁场环)*20 -> 2208(射线接收站)*1,480(8.0s)
73,卫星配电站,2202(无线输电塔)*1 + 1205(超级磁场环)*10 + 1125(框架材料)*2 -> 2212(卫星配电站)*1,300(5.0s)
74,质能储存,1208(临界光子)*2 -> 1122(反物质)*2 + 1120(氢)*2,120(2.0s)
75,宇宙矩阵,6001(电磁矩阵)*1 + 6002(能量矩阵)*1 + 6003(结构矩阵)*1 + 6004(信息矩阵)*1 + 6005(引力矩阵)*1 + 1122(反物质)*1 -> 6006(宇宙矩阵)*1,900(15.0s)
76,蓄电器,1101(铁块)*6 + 1205(超级磁场环)*1 + 1113(晶格硅)*3 -> 2206(蓄电器)*1,180(3.0s)
77,能量枢纽,1107(钛合金)*40 + 1103(钢材)*40 + 1303(处理器)*40 + 1206(粒子容器)*8 -> 2209(能量枢纽)*1,900(15.0s)
78,空间翘曲器,1209(引力透镜)*1 -> 1210(空间翘曲器)*1,600(10.0s)
79,空间翘曲器（高级）,6005(引力矩阵)*1 -> 1210(空间翘曲器)*8,600(10.0s)
80,框架材料,1124(碳纳米管)*4 + 1107(钛合金)*1 + 1105(高纯硅块)*1 -> 1125(框架材料)*1,360(6.0s)
81,戴森球组件,1125(框架材料)*3 + 1501(太阳帆)*3 + 1303(处理器)*3 -> 1502(戴森球组件)*1,480(8.0s)
82,垂直发射井,1107(钛合金)*80 + 1125(框架材料)*30 + 1209(引力透镜)*20 + 1305(量子芯片)*10 -> 2312(垂直发射井)*1,1800(30.0s)
83,小型运载火箭,1502(戴森球组件)*2 + 1802(氘核燃料棒)*4 + 1305(量子芯片)*2 -> 1503(小型运载火箭)*1,360(6.0s)
84,传送带,1101(铁块)*2 + 1201(齿轮)*1 -> 2001(传送带)*3,60(1.0s)
85,分拣器,1101(铁块)*1 + 1301(电路板)*1 -> 2011(分拣器)*1,60(1.0s)
86,小型储物仓,1101(铁块)*4 + 1108(石材)*4 -> 2101(小型储物仓)*1,120(2.0s)
87,四向分流器,1101(铁块)*3 + 1201(齿轮)*2 + 1301(电路板)*1 -> 2020(四向分流器)*1,120(2.0s)
88,高速分拣器,2011(分拣器)*2 + 1203(电动机)*1 -> 2012(高速分拣器)*2,60(1.0s)
89,高速传送带,2001(传送带)*3 + 1204(电磁涡轮)*1 -> 2002(高速传送带)*3,60(1.0s)
90,极速分拣器,2012(高速分拣器)*2 + 1204(电磁涡轮)*1 -> 2013(极速分拣器)*2,60(1.0s)
91,大型储物仓,1103(钢材)*8 + 1108(石材)*8 -> 2102(大型储物仓)*1,240(4.0s)
92,极速传送带,2002(高速传送带)*3 + 1205(超级磁场环)*1 + 1123(石墨烯)*1 -> 2003(极速传送带)*3,60(1.0s)
93,行星内物流运输站,1103(钢材)*40 + 1106(钛块)*40 + 1303(处理器)*40 + 1206(粒子容器)*20 -> 2103(行星内物流运输站)*1,1200(20.0s)
94,物流运输机,1101(铁块)*5 + 1303(处理器)*2 + 1405(推进器)*2 -> 5001(物流运输机)*1,240(4.0s)
95,星际物流运输站,2103(行星内物流运输站)*1 + 1107(钛合金)*40 + 1206(粒子容器)*20 -> 2104(星际物流运输站)*1,1800(30.0s)
96,星际物流运输船,1107(钛合金)*10 + 1303(处理器)*10 + 1406(加力推进器)*2 -> 5002(星际物流运输船)*1,360(6.0s)
97,电动机,1101(铁块)*2 + 1201(齿轮)*1 + 1202(磁线圈)*1 -> 1203(电动机)*1,120(2.0s)
98,电磁涡轮,1203(电动机)*2 + 1202(磁线圈)*2 -> 1204(电磁涡轮)*1,120(2.0s)
99,粒子容器,1204(电磁涡轮)*2 + 1104(铜块)*2 + 1123(石墨烯)*2 -> 1206(粒子容器)*1,240(4.0s)
100,粒子容器（高效）,1016(单极磁石)*10 + 1104(铜块)*2 -> 1206(粒子容器)*1,240(4.0s)
101,引力透镜,1112(金刚石)*4 + 1127(奇异物质)*1 -> 1209(引力透镜)*1,360(6.0s)
102,引力矩阵,1209(引力透镜)*1 + 1305(量子芯片)*1 -> 6005(引力矩阵)*2,1440(24.0s)
103,超级磁场环,1204(电磁涡轮)*2 + 1102(磁铁)*3 + 1109(高能石墨)*1 -> 1205(超级磁场环)*1,180(3.0s)
104,奇异物质,1206(粒子容器)*2 + 1101(铁块)*2 + 1121(重氢)*10 -> 1127(奇异物质)*1,480(8.0s)
106,增产剂 Mk.I,1006(煤矿)*1 -> 1141(增产剂MkI)*1,30(0.5s)
107,增产剂 Mk.II,1141(增产剂MkI)*2 + 1112(金刚石)*1 -> 1142(增产剂MkII)*1,60(1.0s)
108,增产剂 Mk.III,1142(增产剂MkII)*2 + 1124(碳纳米管)*1 -> 1143(增产剂MkIII)*1,120(2.0s)
109,喷涂机,1103(钢材)*4 + 1401(电浆激发器)*2 + 1301(电路板)*2 + 1302(微晶元件)*2 -> 2313(喷涂机)*1,180(3.0s)
110,分馏塔,1103(钢材)*8 + 1108(石材)*4 + 1110(玻璃)*4 + 1303(处理器)*1 -> 2314(分馏塔)*1,180(3.0s)
111,轨道采集器,2104(星际物流运输站)*1 + 1205(超级磁场环)*50 + 1406(加力推进器)*20 + 2207(蓄电器满)*20 -> 2105(轨道采集器)*1,1800(30.0s)
112,地基,1108(石材)*3 + 1103(钢材)*1 -> 1131(地基)*1,60(1.0s)
113,微型聚变发电站,1107(钛合金)*12 + 1205(超级磁场环)*10 + 1124(碳纳米管)*8 + 1303(处理器)*4 -> 2211(微型聚变发电站)*1,600(10.0s)
114,储液罐,1101(铁块)*8 + 1108(石材)*4 + 1110(玻璃)*4 -> 2106(储液罐)*1,120(2.0s)
115,重氢分馏,1120(氢)*100 -> 1121(重氢)*1,1(0.0s)
116,位面熔炉,2302(电弧熔炉)*1 + 1125(框架材料)*5 + 1304(位面过滤器)*4 + 1016(单极磁石)*15 -> 2315(位面熔炉)*1,300(5.0s)
117,流速监测器,1101(铁块)*3 + 1201(齿轮)*2 + 1110(玻璃)*1 + 1301(电路板)*2 -> 2030(流速监测器)*1,120(2.0s)
118,地热发电站,1103(钢材)*15 + 1104(铜块)*20 + 1404(光子合并器)*4 + 1205(超级磁场环)*1 -> 2213(地热发电站)*1,360(6.0s)
119,大型采矿机,1107(钛合金)*20 + 1125(框架材料)*10 + 1205(超级磁场环)*10 + 1305(量子芯片)*4 + 1014(光栅石)*40 -> 2316(大型采矿机)*1,1200(20.0s)
120,自动集装机,1103(钢材)*3 + 1201(齿轮)*4 + 1205(超级磁场环)*1 + 1303(处理器)*2 -> 2040(自动集装机)*1,240(4.0s)
121,重整精炼,1114(精炼油)*2 + 1120(氢)*1 + 1006(煤矿)*1 -> 1114(精炼油)*3,240(4.0s)
122,物流配送器,1101(铁块)*8 + 1401(电浆激发器)*4 + 1303(处理器)*4 -> 2107(物流配送器)*1,480(8.0s)
123,配送运输机,1101(铁块)*2 + 1407(动力引擎)*1 + 1303(处理器)*1 -> 5003(配送运输机)*1,120(2.0s)
124,量子化工厂,2309(化工厂)*1 + 1119(钛化玻璃)*10 + 1127(奇异物质)*3 + 1305(量子芯片)*3 -> 2317(量子化工厂)*1,600(10.0s)
125,高斯机枪塔,1101(铁块)*8 + 1201(齿轮)*8 + 1301(电路板)*2 + 1202(磁线圈)*4 -> 3001(高斯机枪塔)*1,240(4.0s)
126,高频激光塔,1103(钢材)*9 + 1401(电浆激发器)*6 + 1301(电路板)*6 + 1404(光子合并器)*9 -> 3002(高频激光塔)*1,360(6.0s)
127,聚爆加农炮,1103(钢材)*10 + 1203(电动机)*8 + 1301(电路板)*10 + 1205(超级磁场环)*2 -> 3003(聚爆加农炮)*1,300(5.0s)
128,磁化电浆炮,1107(钛合金)*20 + 1119(钛化玻璃)*10 + 1205(超级磁场环)*10 + 1401(电浆激发器)*5 + 1303(处理器)*5 -> 3004(磁化电浆炮)*1,600(10.0s)
129,导弹防御塔,1103(钢材)*8 + 1203(电动机)*6 + 1301(电路板)*12 + 1407(动力引擎)*6 -> 3005(导弹防御塔)*1,360(6.0s)
130,干扰塔,1104(铜块)*12 + 1401(电浆激发器)*9 + 1112(金刚石)*6 + 1303(处理器)*3 -> 3006(干扰塔)*1,300(5.0s)
131,信号塔,2202(无线输电塔)*2 + 1103(钢材)*12 + 1113(晶格硅)*6 -> 3007(信号塔)*1,360(6.0s)
132,行星护盾发生器,1103(钢材)*20 + 1204(电磁涡轮)*20 + 1205(超级磁场环)*5 + 1206(粒子容器)*5 -> 3008(行星护盾发生器)*1,600(10.0s)
133,燃烧单元,1006(煤矿)*3 -> 1128(燃烧单元)*1,180(3.0s)
134,爆破单元,1128(燃烧单元)*2 + 1115(塑料)*2 + 1116(硫酸)*1 -> 1129(爆破单元)*2,360(6.0s)
135,晶石爆破单元,1129(爆破单元)*8 + 1126(卡西米尔晶体)*1 + 1113(晶格硅)*8 -> 1130(晶石爆破单元)*8,1440(24.0s)
136,机枪弹箱,1104(铜块)*3 -> 1601(机枪弹箱)*1,60(1.0s)
137,钛化弹箱,1601(机枪弹箱)*1 + 1106(钛块)*2 -> 1602(钛化弹箱)*1,120(2.0s)
138,超合金弹箱,1602(钛化弹箱)*1 + 1107(钛合金)*1 -> 1603(超合金弹箱)*1,180(3.0s)
139,炮弹组,1104(铜块)*9 + 1128(燃烧单元)*2 -> 1604(炮弹组)*1,90(1.5s)
140,高爆炮弹组,1604(炮弹组)*1 + 1106(钛块)*6 + 1129(爆破单元)*2 -> 1605(高爆炮弹组)*1,180(3.0s)
141,晶石炮弹组,1605(高爆炮弹组)*1 + 1107(钛合金)*3 + 1130(晶石爆破单元)*2 -> 1606(晶石炮弹组)*1,360(6.0s)
142,等离子胶囊,1123(石墨烯)*1 + 1102(磁铁)*2 + 1121(重氢)*10 -> 1607(等离子胶囊)*1,120(2.0s)
143,反物质胶囊,1607(等离子胶囊)*1 + 1206(粒子容器)*1 + 1120(氢)*10 + 1122(反物质)*10 -> 1608(反物质胶囊)*1,120(2.0s)
144,导弹组,1104(铜块)*6 + 1301(电路板)*3 + 1128(燃烧单元)*2 + 1407(动力引擎)*1 -> 1609(导弹组)*1,120(2.0s)
145,超音速导弹组,1609(导弹组)*2 + 1303(处理器)*4 + 1129(爆破单元)*4 + 1405(推进器)*2 -> 1610(超音速导弹组)*2,240(4.0s)
146,引力导弹组,1610(超音速导弹组)*3 + 1130(晶石爆破单元)*6 + 1127(奇异物质)*3 -> 1611(引力导弹组)*3,360(6.0s)
147,原型机,1101(铁块)*3 + 1407(动力引擎)*1 + 1301(电路板)*2 + 1401(电浆激发器)*1 -> 5101(原型机)*1,120(2.0s)
148,精准无人机,5101(原型机)*1 + 1204(电磁涡轮)*1 + 1301(电路板)*2 + 1404(光子合并器)*2 -> 5102(精准无人机)*1,240(4.0s)
149,攻击无人机,5101(原型机)*1 + 1204(电磁涡轮)*1 + 1303(处理器)*1 + 1206(粒子容器)*1 -> 5103(攻击无人机)*1,240(4.0s)
150,护卫舰,1107(钛合金)*5 + 1406(加力推进器)*1 + 1303(处理器)*2 + 1206(粒子容器)*3 -> 5111(护卫舰)*1,300(5.0s)
151,驱逐舰,1125(框架材料)*20 + 1406(加力推进器)*4 + 1303(处理器)*4 + 1127(奇异物质)*1 -> 5112(驱逐舰)*1,480(8.0s)
105,动力引擎,1202(磁线圈)*1 + 1104(铜块)*2 -> 1407(动力引擎)*1,180(3.0s)
152,战场分析基站,1103(钢材)*12 + 1301(电路板)*18 + 1302(微晶元件)*6 + 1407(动力引擎)*12 -> 3009(战场分析基站)*1,360(6.0s)
153,自演化研究站,2901(矩阵研究站)*1 + 5202(硅基神经元)*10 + 5201(黑雾矩阵)*20 + 1305(量子芯片)*4 -> 2902(自演化研究站)*1,240(4.0s)
154,重组式制造台,2305(制造台MkIII)*1 + 5203(物质重组器)*10 + 5206(能量碎片)*30 + 1305(量子芯片)*4 -> 2318(重组式制造台)*1,300(5.0s)
155,负熵熔炉,2315(位面熔炉)*1 + 5204(负熵奇点)*10 + 5206(能量碎片)*30 + 1305(量子芯片)*4 -> 2319(负熵熔炉)*1,360(6.0s)
156,奇异湮灭燃料棒,1803(反物质燃料棒)*8 + 5205(核心素)*1 + 1127(奇异物质)*2 + 1125(框架材料)*1 -> 1804(奇异湮灭燃料棒)*1,1920(32.0s)
157,近程电浆塔,1103(钢材)*15 + 1205(超级磁场环)*5 + 1401(电浆激发器)*5 + 1303(处理器)*5 -> 3010(近程电浆塔)*1,480(8.0s)
158,干扰胶囊,1204(电磁涡轮)*1 + 1401(电浆激发器)*1 + 1120(氢)*3 -> 1612(干扰胶囊)*1,120(2.0s)
159,压制胶囊,1612(干扰胶囊)*2 + 1205(超级磁场环)*1 + 1119(钛化玻璃)*2 -> 1613(压制胶囊)*2,480(8.0s)
